Order_Number;ID_Client;ID_State_Code;State/ UT;Customer_Name;Order_Date;Status;Product;ID_Product;Category;ID_Category;Brand;ID_Brand;Cost; Sales ;Quantity; Total_Cost ; Total_Sales ;Assigned Supervisor;ID_Vender
139387;CLI14;KL;Kerala;Haridas Balraj;18/01/2020;Processing;4 GB DDR4 Ram;PCT13;RAM;CAT04;Hynix;BRD4;R$ 1.680,00; R$ 2.184,00 ;1; R$ 1.680,00 ; R$ 2.184,00 ;Ajay Sharma; VEN11101 
139388;CLI15;KL;Kerala;Kundan Kumar;19/01/2020;Processing;Micro ATX motherboard;PCT14;MotherBoard;CAT05;MSI;BRD9;R$ 6.540,00; R$ 8.502,00 ;2; R$ 13.080,00 ; R$ 17.004,00 ;Roshan Kumar; VEN11102 
139389;CLI16;MN;Manipur;Atif Siddiqui;20/01/2020;Processing;Gaming Box Cabinet;PCT15;Cabinet;CAT06;Asus;BRD6;R$ 2.680,00; R$ 3.484,00 ;1; R$ 2.680,00 ; R$ 3.484,00 ;Aarvi Gupta; VEN11103 
139390;CLI17;ML;Meghalaya;Aditya Agarwal;21/01/2020;Processing;"17"" LCD Display";PCT16;Monitor;CAT09;Samsung;BRD1;R$ 8.250,00; R$ 10.725,00 ;2; R$ 16.500,00 ; R$ 21.450,00 ;Vijay Singh; VEN11104 
139391;CLI18;MZ;Mizoram;Firdoush Jabee;22/01/2020;Processing;8 GB DDR4 RAM;PCT17;RAM;CAT04;Samsung;BRD1;R$ 2.650,00; R$ 3.445,00 ;4; R$ 10.600,00 ; R$ 13.780,00 ;Aadil Khan; VEN11105 
139392;CLI19;NL;Nagaland;Jay Prakash Kumar;22/01/2020;Processing;"26"" LCD Display";PCT18;Monitor;CAT09;Acer;BRD10;R$ 12.550,00; R$ 16.315,00 ;2; R$ 25.100,00 ; R$ 32.630,00 ;Advika Joshi; VEN11106 
139393;CLI20;OR;Orissa;Ashish Pandey;22/01/2020;Processing;I7 - intel 12th Generation;PCT19;CPU;CAT02;Intel;BRD2;R$ 14.500,00; R$ 18.850,00 ;2; R$ 29.000,00 ; R$ 37.700,00 ;Ajay Sharma; VEN11101 
139394;CLI21;PB;Punjab;Ajay Sharma;22/01/2020;Processing;USB Keyboard;PCT20;Keyboard;CAT07;Dell;BRD7;R$ 800,00; R$ 1.040,00 ;1; R$ 800,00 ; R$ 1.040,00 ;Roshan Kumar; VEN11102 
139395;CLI22;RJ;Rajasthan;Moinuddin Saifi;22/01/2020;Processing;Wireless Mouse;PCT21;Mouse;CAT08;Samsung;BRD1;R$ 600,00; R$ 780,00 ;3; R$ 1.800,00 ; R$ 2.340,00 ;Aarvi Gupta; VEN11103 
139396;CLI23;SK;Sikkim;Ramkrishna Das Adhikary;22/01/2020;Processing;"21"" LCD Display";PCT22;Monitor;CAT09;Dell;BRD7;R$ 10.500,00; R$ 13.650,00 ;4; R$ 42.000,00 ; R$ 54.600,00 ;Vijay Singh; VEN11104 
139397;CLI24;TN;Tamil Nadu;Ranjeet Mandal;23/01/2020;Processing;2 TB HDD;PCT10;HDD;CAT10;Western Digital;BRD11;R$ 6.500,00; R$ 8.450,00 ;1; R$ 6.500,00 ; R$ 8.450,00 ;Aadil Khan; VEN11105 
139398;CLI25;TR;Tripura;Ashwini Adsare;24/01/2020;Processing;257 GB SSD;PCT23;SSD;CAT01;Samsung;BRD1;R$ 4.500,00; R$ 5.850,00 ;4; R$ 18.000,00 ; R$ 23.400,00 ;Ajay Sharma; VEN11101 
139399;CLI26;UK;Uttarakhand;Rajesh Variya;25/01/2020;Processing;Intel i3 11th gen.;PCT24;CPU;CAT02;Intel;BRD2;R$ 8.500,00; R$ 11.050,00 ;2; R$ 17.000,00 ; R$ 22.100,00 ;Roshan Kumar; VEN11102 
139400;CLI27;UP;Uttar Pradesh;Amit Singh;26/01/2020;Processing;4GB Graphic card;PCT25;Graphic Card;CAT03;Nvidia;BRD3;R$ 12.500,00; R$ 16.250,00 ;2; R$ 25.000,00 ; R$ 32.500,00 ;Aarvi Gupta; VEN11103 
139401;CLI28;WB;West Bengal;Vinod Mehta;26/01/2020;Shipped;9 GB DDR4 RAM;PCT26;Computer Case;CAT11;Hynix;BRD4;R$ 3.500,00; R$ 4.550,00 ;3; R$ 10.500,00 ; R$ 13.650,00 ;Vijay Singh; VEN11104 
139402;CLI29;TN;Tamil Nadu;Jignesh Mhatre;26/01/2020;Order;BTX motherboard;PCT27;Mouse;CAT08;Gigabyte;BRD5;R$ 4.500,00; R$ 5.850,00 ;4; R$ 18.000,00 ; R$ 23.400,00 ;Aadil Khan; VEN11105 
139403;CLI30;TR;Tripura;Rahul Kashyap;26/01/2020;Order;4 Fans Cabinet;PCT28;Cabinet;CAT06;Asus;BRD6;R$ 2.100,00; R$ 2.730,00 ;3; R$ 6.300,00 ; R$ 8.190,00 ;Advika Joshi; VEN11106 
139404;CLI31;AN;Andaman and Nicobar Islands;Mohammed Abdul Kaleem;27/01/2020;Order;Wireless Keyboard;PCT29;Keyboard;CAT07;Dell;BRD7;R$ 1.150,00; R$ 1.495,00 ;3; R$ 3.450,00 ; R$ 4.485,00 ;Ajay Sharma; VEN11101 
139405;CLI32;CH;Chandigarh;Chandrakant Kasbe;28/01/2020;Order;USB Mouse;PCT30;Mouse;CAT08;Samsung;BRD1;R$ 350,00; R$ 455,00 ;1; R$ 350,00 ; R$ 455,00 ;Roshan Kumar; VEN11102 
139406;CLI33;CH;Chandigarh;Rohan Kale;29/01/2020;Order;"19"" LED Display";PCT31;Monitor;CAT09;Dell;BRD7;R$ 9.500,00; R$ 12.350,00 ;3; R$ 28.500,00 ; R$ 37.050,00 ;Aarvi Gupta; VEN11103 
139407;CLI34;CH;Chandigarh;Aniruddha Kekapure;30/01/2020;Processing;3 TB HDD;PCT32;HDD;CAT10;Western Digital;BRD11;R$ 10.000,00; R$ 13.000,00 ;1; R$ 10.000,00 ; R$ 13.000,00 ;Vijay Singh; VEN11104 
139408;CLI35;CH;Chandigarh;Aslam Raza;31/01/2020;Delivered;513 GB M.2;PCT33;SSD;CAT01;Samsung;BRD1;R$ 6.500,00; R$ 8.450,00 ;3; R$ 19.500,00 ; R$ 25.350,00 ;Aadil Khan; VEN11105 
139409;CLI36;CH;Chandigarh;Roshan Zameer;01/02/2020;Shipped;RYZEN 3rd gen. 3501;PCT34;CPU;CAT02;Intel;BRD2;R$ 8.500,00; R$ 11.050,00 ;4; R$ 34.000,00 ; R$ 44.200,00 ;Advika Joshi; VEN11106 
139410;CLI37;CH;Chandigarh;Rakesh Kumar Sharma;01/02/2020;Shipped;2GB Graphic Card;PCT03;Graphic Card;CAT03;Nvidia;BRD3;R$ 7.000,00; R$ 9.100,00 ;3; R$ 21.000,00 ; R$ 27.300,00 ;Ajay Sharma; VEN11101 
139411;CLI38;CH;Chandigarh;Shivanand Sahani;01/02/2020;Shipped;17 GB DDR4 RAM;PCT35;Computer Case;CAT11;Hynix;BRD4;R$ 6.550,00; R$ 8.515,00 ;3; R$ 19.650,00 ; R$ 25.545,00 ;Roshan Kumar; VEN11102 
139412;CLI39;AR;Arunachal Pradesh;Kunal Patra;01/02/2020;Shipped;Standard ATX motherboard;PCT05;Mouse;CAT08;Gigabyte;BRD5;R$ 7.650,00; R$ 9.945,00 ;3; R$ 22.950,00 ; R$ 29.835,00 ;Aarvi Gupta; VEN11103 
139413;CLI40;AS;Assam;Bijendra;02/02/2020;Shipped;Compact with 1 Fan;PCT06;Cabinet;CAT06;Asus;BRD6;R$ 1.150,00; R$ 1.495,00 ;1; R$ 1.150,00 ; R$ 1.495,00 ;Vijay Singh; VEN11104 
139414;CLI41;BR;Bihar;Kranti Bheke;03/02/2020;Shipped;USB Backlight Keyboard;PCT07;Keyboard;CAT07;Dell;BRD7;R$ 850,00; R$ 1.105,00 ;1; R$ 850,00 ; R$ 1.105,00 ;Aadil Khan; VEN11105 
139415;CLI42;CG;Chhattisgarh;Jagdeep;03/02/2020;Shipped;Ergonomic Mouse;PCT08;Mouse;CAT08;Samsung;BRD1;R$ 650,00; R$ 845,00 ;2; R$ 1.300,00 ; R$ 1.690,00 ;Ajay Sharma; VEN11101 
139416;CLI01;GA;Goa;Adhir Samal;03/02/2020;Shipped;"15"" LCD Dsipaly";PCT09;Monitor;CAT09;Dell;BRD7;R$ 7.500,00; R$ 9.750,00 ;1; R$ 7.500,00 ; R$ 9.750,00 ;Roshan Kumar; VEN11102 
139417;CLI02;GJ;Gujarat;Dannana Jhammi;04/02/2020;Shipped;3 TB HDD;PCT32;HDD;CAT10;Seagate;BRD8;R$ 10.000,00; R$ 13.000,00 ;3; R$ 30.000,00 ; R$ 39.000,00 ;Aarvi Gupta; VEN11103 
139418;CLI03;GJ;Gujarat;Vipin Kumar;05/02/2020;Shipped;2 TB SSD;PCT36;SSD;CAT01;Samsung;BRD1;R$ 10.500,00; R$ 13.650,00 ;2; R$ 21.000,00 ; R$ 27.300,00 ;Vijay Singh; VEN11104 
139419;CLI04;GJ;Gujarat;Ranjeet Kumar;06/02/2020;Processing;Intel i5 12th gen.;PCT12;CPU;CAT02;Intel;BRD2;R$ 8.500,00; R$ 11.050,00 ;4; R$ 34.000,00 ; R$ 44.200,00 ;Aadil Khan; VEN11105 
139420;CLI05;GJ;Gujarat;Sajal Singhal;07/02/2020;Delivered;2GB Graphic Card;PCT03;Graphic Card;CAT03;Nvidia;BRD3;R$ 7.000,00; R$ 9.100,00 ;4; R$ 28.000,00 ; R$ 36.400,00 ;Advika Joshi; VEN11106 
139421;CLI06;GJ;Gujarat;Akhilesh Kumar;08/02/2020;Shipped;5 GB DDR4 Ram;PCT37;Computer Case;CAT11;Hynix;BRD4;R$ 1.680,00; R$ 2.184,00 ;2; R$ 3.360,00 ; R$ 4.368,00 ;Ajay Sharma; VEN11101 
139422;CLI07;GJ;Gujarat;Suvankar Chakraborty;09/02/2020;Order;Micro ATX motherboard;PCT14;Mouse;CAT08;MSI;BRD9;R$ 6.540,00; R$ 8.502,00 ;1; R$ 6.540,00 ; R$ 8.502,00 ;Roshan Kumar; VEN11102 
139423;CLI08;KL;Kerala;Suvankar Adhikary;10/02/2020;Processing;Gaming Box Cabinet;PCT15;Cabinet;CAT06;Asus;BRD6;R$ 2.680,00; R$ 3.484,00 ;1; R$ 2.680,00 ; R$ 3.484,00 ;Aarvi Gupta; VEN11103 
139424;CLI09;MP;Madhya Pradesh;Rahul Kumar Prajapati;11/02/2020;Delivered;"17"" LCD Display";PCT16;Monitor;CAT09;Samsung;BRD1;R$ 8.250,00; R$ 10.725,00 ;1; R$ 8.250,00 ; R$ 10.725,00 ;Vijay Singh; VEN11104 
139425;CLI10;MH;Maharashtra;Sagar Jeur;12/02/2020;Shipped;9 GB DDR4 RAM;PCT26;RAM;CAT04;Samsung;BRD1;R$ 2.650,00; R$ 3.445,00 ;3; R$ 7.950,00 ; R$ 10.335,00 ;Aadil Khan; VEN11105 
139426;CLI11;MN;Manipur;Rhushikesh Mane;13/02/2020;Order;"26"" LCD Display";PCT18;Monitor;CAT09;Acer;BRD10;R$ 12.550,00; R$ 16.315,00 ;3; R$ 37.650,00 ; R$ 48.945,00 ;Advika Joshi; VEN11106 
139427;CLI12;ML;Meghalaya;Ashish Kumar;14/02/2020;Processing;I7 - intel 12th Generation;PCT19;CPU;CAT02;Intel;BRD2;R$ 14.500,00; R$ 18.850,00 ;3; R$ 43.500,00 ; R$ 56.550,00 ;Ajay Sharma; VEN11101 
139428;CLI13;MZ;Mizoram;Javed Akhter;15/02/2020;Delivered;USB Keyboard;PCT20;Keyboard;CAT07;Dell;BRD7;R$ 800,00; R$ 1.040,00 ;3; R$ 2.400,00 ; R$ 3.120,00 ;Roshan Kumar; VEN11102 
139429;CLI14;NL;Nagaland;Haridas Balraj;16/02/2020;Shipped;Wireless Mouse;PCT21;Mouse;CAT08;Samsung;BRD1;R$ 600,00; R$ 780,00 ;3; R$ 1.800,00 ; R$ 2.340,00 ;Aarvi Gupta; VEN11103 
139430;CLI15;OR;Orissa;Kundan Kumar;17/02/2020;Order;"21"" LCD Display";PCT22;Monitor;CAT09;Dell;BRD7;R$ 10.500,00; R$ 13.650,00 ;3; R$ 31.500,00 ; R$ 40.950,00 ;Vijay Singh; VEN11104 
139431;CLI16;PB;Punjab;Atif Siddiqui;18/02/2020;Processing;3 TB HDD;PCT32;HDD;CAT10;Western Digital;BRD11;R$ 6.500,00; R$ 8.450,00 ;2; R$ 13.000,00 ; R$ 16.900,00 ;Aadil Khan; VEN11105 
139432;CLI17;RJ;Rajasthan;Aditya Agarwal;19/02/2020;Delivered;258 GB SSD;PCT38;SSD;CAT01;Samsung;BRD1;R$ 4.500,00; R$ 5.850,00 ;2; R$ 9.000,00 ; R$ 11.700,00 ;Advika Joshi; VEN11106 
139433;CLI18;SK;Sikkim;Firdoush Jabee;19/02/2020;Shipped;Intel i3 11th gen.;PCT24;CPU;CAT02;Intel;BRD2;R$ 8.500,00; R$ 11.050,00 ;2; R$ 17.000,00 ; R$ 22.100,00 ;Ajay Sharma; VEN11101 
139434;CLI19;TN;Tamil Nadu;Jay Prakash Kumar;19/02/2020;Order;4GB Graphic card;PCT25;Graphic Card;CAT03;Nvidia;BRD3;R$ 12.500,00; R$ 16.250,00 ;4; R$ 50.000,00 ; R$ 65.000,00 ;Roshan Kumar; VEN11102 
139435;CLI20;TN;Tamil Nadu;Ashish Pandey;19/02/2020;Processing;10 GB DDR4 RAM;PCT39;NIC;CAT12;Hynix;BRD4;R$ 3.500,00; R$ 4.550,00 ;2; R$ 7.000,00 ; R$ 9.100,00 ;Aarvi Gupta; VEN11103 
139436;CLI21;TN;Tamil Nadu;Ajay Sharma;20/02/2020;Delivered;BTX motherboard;PCT27;Printer;CAT13;Gigabyte;BRD5;R$ 4.500,00; R$ 5.850,00 ;2; R$ 9.000,00 ; R$ 11.700,00 ;Vijay Singh; VEN11104 
139437;CLI22;TN;Tamil Nadu;Moinuddin Saifi;21/02/2020;Shipped;5 Fans Cabinet;PCT40;Cabinet;CAT06;Asus;BRD6;R$ 2.100,00; R$ 2.730,00 ;3; R$ 6.300,00 ; R$ 8.190,00 ;Aadil Khan; VEN11105 
139438;CLI23;WB;West Bengal;Ramkrishna Das Adhikary;22/02/2020;Order;Wireless Keyboard;PCT29;Keyboard;CAT07;Dell;BRD7;R$ 1.150,00; R$ 1.495,00 ;1; R$ 1.150,00 ; R$ 1.495,00 ;Advika Joshi; VEN11106 
139439;CLI24;TN;Tamil Nadu;Ranjeet Mandal;23/02/2020;Processing;USB Mouse;PCT30;Mouse;CAT08;Samsung;BRD1;R$ 350,00; R$ 455,00 ;1; R$ 350,00 ; R$ 455,00 ;Ajay Sharma; VEN11101 
139440;CLI25;TR;Tripura;Ashwini Adsare;24/02/2020;Delivered;"19"" LED Display";PCT31;Monitor;CAT09;Dell;BRD7;R$ 9.500,00; R$ 12.350,00 ;1; R$ 9.500,00 ; R$ 12.350,00 ;Roshan Kumar; VEN11102 
139441;CLI26;AN;Andaman and Nicobar Islands;Rajesh Variya;25/02/2020;Shipped;4 TB HDD;PCT41;HDD;CAT10;Western Digital;BRD11;R$ 10.000,00; R$ 13.000,00 ;1; R$ 10.000,00 ; R$ 13.000,00 ;Aarvi Gupta; VEN11103 
139442;CLI27;CH;Chandigarh;Amit Singh;26/02/2020;Order;514 GB M.2;PCT42;SSD;CAT01;Samsung;BRD1;R$ 6.500,00; R$ 8.450,00 ;3; R$ 19.500,00 ; R$ 25.350,00 ;Vijay Singh; VEN11104 
139443;CLI28;DH;Dadra and Nagar Haveli;Vinod Mehta;27/02/2020;Processing;RYZEN 3rd gen. 3502;PCT43;CPU;CAT02;Intel;BRD2;R$ 8.500,00; R$ 11.050,00 ;3; R$ 25.500,00 ; R$ 33.150,00 ;Aadil Khan; VEN11105 
139444;CLI29;DD;Daman and Diu;Jignesh Mhatre;28/02/2020;Delivered;2GB Graphic Card;PCT03;Graphic Card;CAT03;Nvidia;BRD3;R$ 7.000,00; R$ 9.100,00 ;1; R$ 7.000,00 ; R$ 9.100,00 ;Advika Joshi; VEN11106 
139445;CLI30;DL;Delhi;Rahul Kashyap;29/02/2020;Shipped;18 GB DDR4 RAM;PCT44;NIC;CAT12;Hynix;BRD4;R$ 6.550,00; R$ 8.515,00 ;2; R$ 13.100,00 ; R$ 17.030,00 ;Ajay Sharma; VEN11101 
139446;CLI31;LD;Lakshadweep;Mohammed Abdul Kaleem;01/03/2020;Order;Standard ATX motherboard;PCT05;Printer;CAT13;Gigabyte;BRD5;R$ 7.650,00; R$ 9.945,00 ;3; R$ 22.950,00 ; R$ 29.835,00 ;Roshan Kumar; VEN11102 
139447;CLI32;PY;Pondicherry;Chandrakant Kasbe;02/03/2020;Processing;Compact with 1 Fan;PCT06;Cabinet;CAT06;Asus;BRD6;R$ 1.150,00; R$ 1.495,00 ;2; R$ 2.300,00 ; R$ 2.990,00 ;Aarvi Gupta; VEN11103 
139448;CLI33;AP;Andhra Pradesh;Rohan Kale;03/03/2020;Delivered;USB Backlight Keyboard;PCT07;Keyboard;CAT07;Dell;BRD7;R$ 850,00; R$ 1.105,00 ;1; R$ 850,00 ; R$ 1.105,00 ;Vijay Singh; VEN11104 
139449;CLI34;AR;Arunachal Pradesh;Aniruddha Kekapure;04/03/2020;Shipped;Ergonomic Mouse;PCT08;Mouse;CAT08;Samsung;BRD1;R$ 650,00; R$ 845,00 ;3; R$ 1.950,00 ; R$ 2.535,00 ;Aadil Khan; VEN11105 
139450;CLI35;AS;Assam;Aslam Raza;05/03/2020;Order;"15"" LCD Dsipaly";PCT09;Monitor;CAT09;Dell;BRD7;R$ 7.500,00; R$ 9.750,00 ;4; R$ 30.000,00 ; R$ 39.000,00 ;Advika Joshi; VEN11106 
139451;CLI36;BR;Bihar;Roshan Zameer;06/03/2020;Processing;4 TB HDD;PCT41;HDD;CAT10;Seagate;BRD8;R$ 10.000,00; R$ 13.000,00 ;2; R$ 20.000,00 ; R$ 26.000,00 ;Roshan Kumar; VEN11102 
139452;CLI37;CG;Chhattisgarh;Rakesh Kumar Sharma;07/03/2020;Delivered;3 TB SSD;PCT45;SSD;CAT01;Samsung;BRD1;R$ 10.500,00; R$ 13.650,00 ;3; R$ 31.500,00 ; R$ 40.950,00 ;Aarvi Gupta; VEN11103 
139453;CLI38;GA;Goa;Shivanand Sahani;07/03/2020;Shipped;Intel i5 12th gen.;PCT12;CPU;CAT02;Intel;BRD2;R$ 8.500,00; R$ 11.050,00 ;3; R$ 25.500,00 ; R$ 33.150,00 ;Vijay Singh; VEN11104 
139454;CLI39;GJ;Gujarat;Kunal Patra;07/03/2020;Order;2GB Graphic Card;PCT03;Graphic Card;CAT03;Nvidia;BRD3;R$ 7.000,00; R$ 9.100,00 ;2; R$ 14.000,00 ; R$ 18.200,00 ;Aadil Khan; VEN11105 
139455;CLI40;HR;Haryana;Bijendra;07/03/2020;Processing;6 GB DDR4 Ram;PCT46;NIC;CAT12;Hynix;BRD4;R$ 1.680,00; R$ 2.184,00 ;4; R$ 6.720,00 ; R$ 8.736,00 ;Advika Joshi; VEN11106 
139456;CLI41;HR;Haryana;Kranti Bheke;07/03/2020;Delivered;Micro ATX motherboard;PCT14;Printer;CAT13;MSI;BRD9;R$ 6.540,00; R$ 8.502,00 ;1; R$ 6.540,00 ; R$ 8.502,00 ;Ajay Sharma; VEN11101 
139457;CLI42;HR;Haryana;Jagdeep;07/03/2020;Shipped;Gaming Box Cabinet;PCT15;Cabinet;CAT06;Asus;BRD6;R$ 2.680,00; R$ 3.484,00 ;3; R$ 8.040,00 ; R$ 10.452,00 ;Roshan Kumar; VEN11102 
139458;CLI01;HR;Haryana;Adhir Samal;07/03/2020;Order;"17"" LCD Display";PCT16;Monitor;CAT09;Samsung;BRD1;R$ 8.250,00; R$ 10.725,00 ;2; R$ 16.500,00 ; R$ 21.450,00 ;Aarvi Gupta; VEN11103 
139459;CLI02;HR;Haryana;Dannana Jhammi;08/03/2020;Processing;10 GB DDR4 RAM;PCT39;RAM;CAT04;Samsung;BRD1;R$ 2.650,00; R$ 3.445,00 ;3; R$ 7.950,00 ; R$ 10.335,00 ;Vijay Singh; VEN11104 
139460;CLI03;HR;Haryana;Vipin Kumar;09/03/2020;Delivered;"26"" LCD Display";PCT18;Monitor;CAT09;Acer;BRD10;R$ 12.550,00; R$ 16.315,00 ;1; R$ 12.550,00 ; R$ 16.315,00 ;Aadil Khan; VEN11105 
139461;CLI04;MP;Madhya Pradesh;Ranjeet Kumar;10/03/2020;Shipped;I7 - intel 12th Generation;PCT19;CPU;CAT02;Intel;BRD2;R$ 14.500,00; R$ 18.850,00 ;1; R$ 14.500,00 ; R$ 18.850,00 ;Advika Joshi; VEN11106 
139462;CLI05;MH;Maharashtra;Sajal Singhal;11/03/2020;Order;USB Keyboard;PCT20;Keyboard;CAT07;Dell;BRD7;R$ 800,00; R$ 1.040,00 ;2; R$ 1.600,00 ; R$ 2.080,00 ;Ajay Sharma; VEN11101 
139463;CLI06;MN;Manipur;Akhilesh Kumar;12/03/2020;Processing;Wireless Mouse;PCT21;Mouse;CAT08;Samsung;BRD1;R$ 600,00; R$ 780,00 ;1; R$ 600,00 ; R$ 780,00 ;Roshan Kumar; VEN11102 
139464;CLI07;ML;Meghalaya;Suvankar Chakraborty;13/03/2020;Delivered;"21"" LCD Display";PCT22;Monitor;CAT09;Dell;BRD7;R$ 10.500,00; R$ 13.650,00 ;1; R$ 10.500,00 ; R$ 13.650,00 ;Aarvi Gupta; VEN11103 
139465;CLI08;MZ;Mizoram;Suvankar Adhikary;14/03/2020;Shipped;4 TB HDD;PCT41;HDD;CAT10;Western Digital;BRD11;R$ 6.500,00; R$ 8.450,00 ;3; R$ 19.500,00 ; R$ 25.350,00 ;Vijay Singh; VEN11104 
139466;CLI09;NL;Nagaland;Rahul Kumar Prajapati;15/03/2020;Order;259 GB SSD;PCT47;SSD;CAT01;Samsung;BRD1;R$ 4.500,00; R$ 5.850,00 ;2; R$ 9.000,00 ; R$ 11.700,00 ;Aadil Khan; VEN11105 
139467;CLI10;OR;Orissa;Sagar Jeur;16/03/2020;Processing;Intel i3 11th gen.;PCT24;CPU;CAT02;Intel;BRD2;R$ 8.500,00; R$ 11.050,00 ;1; R$ 8.500,00 ; R$ 11.050,00 ;Advika Joshi; VEN11106 
139468;CLI11;PB;Punjab;Rhushikesh Mane;16/03/2020;Delivered;4GB Graphic card;PCT25;Graphic Card;CAT03;Nvidia;BRD3;R$ 12.500,00; R$ 16.250,00 ;3; R$ 37.500,00 ; R$ 48.750,00 ;Ajay Sharma; VEN11101 
139469;CLI12;RJ;Rajasthan;Ashish Kumar;16/03/2020;Shipped;11 GB DDR4 RAM;PCT48;RAM;CAT04;Hynix;BRD4;R$ 3.500,00; R$ 4.550,00 ;1; R$ 3.500,00 ; R$ 4.550,00 ;Roshan Kumar; VEN11102 
139470;CLI13;SK;Sikkim;Javed Akhter;16/03/2020;Order;BTX motherboard;PCT27;Motherboard;CAT05;Gigabyte;BRD5;R$ 4.500,00; R$ 5.850,00 ;4; R$ 18.000,00 ; R$ 23.400,00 ;Aarvi Gupta; VEN11103 
139471;CLI14;TN;Tamil Nadu;Haridas Balraj;16/03/2020;Processing;6 Fans Cabinet;PCT49;Cabinet;CAT06;Asus;BRD6;R$ 2.100,00; R$ 2.730,00 ;3; R$ 6.300,00 ; R$ 8.190,00 ;Vijay Singh; VEN11104 
139472;CLI15;TR;Tripura;Kundan Kumar;16/03/2020;Delivered;Wireless Keyboard;PCT29;Keyboard;CAT07;Dell;BRD7;R$ 1.150,00; R$ 1.495,00 ;4; R$ 4.600,00 ; R$ 5.980,00 ;Aadil Khan; VEN11105 
139473;CLI16;UK;Uttarakhand;Atif Siddiqui;16/03/2020;Shipped;USB Mouse;PCT30;Mouse;CAT08;Samsung;BRD1;R$ 350,00; R$ 455,00 ;3; R$ 1.050,00 ; R$ 1.365,00 ;Advika Joshi; VEN11106 
